IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
859,2545,GSI012,0,Reprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
861,2643,GSI012,60,Aprovado,1,0,0,0,0,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
866,2293,GSI012,62,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1
895,2890,GSI012,71,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
899,2691,GSI012,82,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
911,2073,GSI012,61,Aprovado,1,1,1,1,1,1,2,2,2,1,0,1,1,2,2,2,1,2,2,1,2,1,1
991,1926,GSI012,2,Reprovado,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
1048,2001,GSI012,0,Reprovado,1,0,0,0,1,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,2
1083,1926,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
1100,1926,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
1115,2691,GSI012,26,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
1125,2007,GSI012,84,Aprovado,1,1,1,1,0,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1
1144,2007,GSI012,6,Reprovado,1,1,1,1,1,1,2,1,1,0,2,2,2,1,2,1,1,2,2,0,1,0,1
1149,1926,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
1150,2520,GSI012,63,Aprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2
