IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
497,1896,GSI001,96,Aprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
499,1886,GSI001,94,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
502,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,0,2,2,2,1,1
506,1886,GSI001,90,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
511,1992,GSI001,56,Reprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
513,2089,GSI001,9,Reprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
519,2089,GSI001,51,Reprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
522,2089,GSI001,64,Aprovado,1,1,1,1,1,1,1,1,2,2,2,2,1,1
523,2407,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
530,1861,GSI001,88,Aprovado,1,1,1,2,1,1,2,1,0,2,2,2,1,0
532,2551,GSI001,88,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
538,1957,GSI001,52,Reprovado,1,1,1,2,1,0,0,0,2,0,1,2,1,2
541,2185,GSI001,74,Aprovado,1,1,0,2,0,1,2,1,2,2,2,0,1,1
544,1861,GSI001,84,Aprovado,1,1,0,2,0,0,2,1,1,2,2,2,1,0
545,1907,GSI001,86,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
549,2588,GSI001,92,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
554,2185,GSI001,90,Aprovado,1,1,1,2,1,1,2,1,2,2,2,1,1,1
555,2185,GSI001,91,Aprovado,1,1,0,2,1,1,2,1,2,2,2,1,1,1
557,2185,GSI001,100,Aprovado,1,1,0,2,1,1,2,1,2,2,2,1,1,1
562,2055,GSI001,96,Aprovado,1,1,1,1,0,1,2,1,2,2,1,2,1,1
563,2008,GSI001,68,Aprovado,1,1,1,1,1,1,2,2,2,2,0,2,0,1
569,1992,GSI001,80,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
573,1907,GSI001,78,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
577,2551,GSI001,79,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
578,2588,GSI001,66,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
580,2256,GSI001,72,Aprovado,1,1,1,2,2,0,2,0,2,2,2,1,1,1
581,2328,GSI001,84,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
584,2736,GSI001,88,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
585,1907,GSI001,68,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
591,2055,GSI001,0,Reprovado,1,0,0,0,0,0,2,0,2,2,0,2,0,0
592,1884,GSI001,73,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
596,1896,GSI001,98,Aprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
599,1886,GSI001,90,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
600,2656,GSI001,94,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
604,2256,GSI001,25,Reprovado,0,0,0,2,2,0,2,0,2,2,2,1,0,0
611,2055,GSI001,91,Aprovado,1,1,1,1,1,1,2,1,2,2,1,2,1,1
612,2055,GSI001,89,Aprovado,1,1,1,1,1,1,2,1,2,2,1,2,1,1
616,1896,GSI001,0,Reprovado,1,1,1,1,1,1,1,2,2,2,2,1,1,1
617,1907,GSI001,89,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,1,2
619,1896,GSI001,81,Aprovado,1,1,1,1,0,1,1,2,2,2,2,1,1,1
621,2656,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
623,1907,GSI001,64,Aprovado,1,1,1,1,1,2,2,2,2,1,1,2,0,2
626,2151,GSI001,66,Aprovado,1,1,1,2,1,2,2,1,2,2,2,2,1,1
627,2008,GSI001,0,Reprovado,1,1,1,1,0,0,2,2,2,2,0,2,1,1
630,2055,GSI001,99,Aprovado,1,1,1,1,0,1,2,1,2,2,1,2,1,1
633,1861,GSI001,91,Aprovado,1,1,1,2,0,1,2,1,0,2,2,2,1,0
634,2588,GSI001,93,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
639,1907,GSI001,75,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
640,1907,GSI001,89,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
643,2736,GSI001,60,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
646,2656,GSI001,99,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
647,1946,GSI001,72,Aprovado,1,1,1,2,1,1,2,0,2,1,1,1,1,1
649,1886,GSI001,98,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
650,2736,GSI001,91,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
652,2619,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
653,1896,GSI001,100,Aprovado,1,0,1,1,1,1,1,2,2,2,2,1,1,1
655,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
657,2736,GSI001,75,Aprovado,1,1,1,1,1,1,2,2,2,2,2,1,1,2
