IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
455,1681,GSI018,66,Aprovado,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
464,1758,GSI018,51,Reprovado,0,0,1,1,2,2,2,1,1,0,1,0,2,1,2,0,2,2,0,0,2,1,2,2,2,2,1,0,0,2,1,1,2,1,2,1,0,2,2,1,1,2,1,1,2,0,2,2,2,2,2,2,2,0,1,2
468,1711,GSI018,39,Reprovado,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,0,2,2,1,2,2,2,2,0,0,0,2,1,1,2,1,2,1,0,2,2,2,1,2,1,1,2,0,2,2,2,2,2,2,2,1,1,2
474,1711,GSI018,3,Reprovado,1,2,1,1,2,2,2,1,2,0,0,0,2,1,2,0,2,2,0,2,2,0,2,2,2,2,1,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,0,0,2
476,1835,GSI018,73,Aprovado,1,0,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
481,1634,GSI018,22,Reprovado,1,1,2,2,1,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,1,1,1
484,1718,GSI018,61,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,1,1
487,1632,GSI018,32,Reprovado,0,0,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1
488,1656,GSI018,63,Aprovado,0,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
502,1824,GSI018,60,Aprovado,0,0,1,1,0,0,2,1,2,2,2,2,1,2,2,2,2,2,1,0,1,2,1,1,2,2,0,1,2,1,1,1,2,0,2,2,2,1,2,2,2,2,2,2,1,1,2,0,0,2,1,1,2,1,1,2
519,1718,GSI018,74,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,1,1
523,1711,GSI018,84,Aprovado,1,2,1,1,2,2,2,1,2,1,1,0,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
529,1605,GSI018,43,Reprovado,1,0,1,1,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,1,2,2,0,1,2,2,0,1,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,1,2
532,1758,GSI018,90,Aprovado,0,0,1,1,2,2,2,1,1,1,1,0,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,0,0,2,0,0,2,0,2,0,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
535,1634,GSI018,0,Reprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
544,1605,GSI018,0,Reprovado,1,0,0,0,0,2,2,2,2,2,0,2,0,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2
549,1835,GSI018,62,Aprovado,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
555,1632,GSI018,75,Aprovado,0,1,2,1,2,2,2,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,0,1,1,1,1,0,0,2,1,1,0,1
557,1632,GSI018,100,Aprovado,1,1,2,0,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,1,2,1,2,2,1,0,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
