IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
660,1652,GSI014,0,Reprovado,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1
668,1652,GSI014,0,Reprovado,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1
669,1626,GSI014,0,Reprovado,0,1,0,0,2,0,0,0,0,0,0,2,1,0,2,1,1,2,0,0,0,1,2,0,0,1
673,1604,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
675,1604,GSI014,19,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
676,2731,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
686,2666,GSI014,33,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
687,2879,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
688,2666,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
694,2693,GSI014,62,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
697,2666,GSI014,77,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
700,2633,GSI014,60,Aprovado,1,1,1,1,1,2,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1
702,2666,GSI014,74,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
703,2633,GSI014,56,Reprovado,1,1,1,1,1,2,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,1,0,1
709,1829,GSI014,98,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
710,2370,GSI014,100,Aprovado,1,1,1,1,2,1,1,1,0,2,0,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2
715,1645,GSI014,12,Reprovado,1,2,1,1,1,1,1,1,2,1,1,2,0,1,0,1,1,1,0,2,0,0,2,1,1,2
719,1721,GSI014,86,Aprovado,1,1,1,1,1,1,1,1,0,0,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
722,1645,GSI014,60,Aprovado,0,2,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,1,2
723,2157,GSI014,81,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,0,2,2,1,2,1,1,1
728,1626,GSI014,23,Reprovado,1,1,1,0,2,1,1,1,1,0,0,2,1,0,2,1,1,2,1,1,1,1,2,1,1,1
730,1721,GSI014,87,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
735,1645,GSI014,83,Aprovado,1,2,1,1,1,1,1,1,2,1,1,2,0,1,1,1,0,1,1,2,1,1,2,1,1,2
737,1766,GSI014,60,Aprovado,1,2,2,1,1,1,1,1,0,2,1,2,2,2,1,1,1,2,2,2,0,0,1,1,1,2
739,1652,GSI014,62,Aprovado,1,2,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1
742,1645,GSI014,72,Aprovado,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,2,1,1,2,1,1,2
743,1652,GSI014,60,Aprovado,1,2,1,1,1,0,0,0,1,1,1,2,0,0,1,1,1,2,1,1,1,1,2,1,1,1
757,2879,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
758,2879,GSI014,72,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
762,2633,GSI014,3,Reprovado,0,1,1,1,1,2,1,1,1,0,1,0,1,1,2,2,2,2,0,1,0,0,2,0,0,1
768,1789,GSI014,0,Reprovado,1,2,2,0,2,0,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0
771,2157,GSI014,0,Reprovado,0,2,2,2,2,2,0,0,0,2,0,2,1,2,1,2,1,2,0,2,2,1,2,1,1,1
775,1720,GSI014,3,Reprovado,1,0,1,0,2,0,0,0,0,0,0,2,2,0,2,2,0,2,1,1,1,0,2,0,0,1
776,1604,GSI014,2,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
783,1789,GSI014,60,Aprovado,1,2,2,0,2,1,0,1,1,1,1,2,0,2,1,2,1,0,1,1,1,2,2,0,1,1
793,1604,GSI014,35,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
798,2666,GSI014,22,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
801,2157,GSI014,62,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
804,1829,GSI014,6,Reprovado,1,2,2,2,2,0,1,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0
805,2396,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0
820,1604,GSI014,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
847,1829,GSI014,35,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
858,1626,GSI014,10,Reprovado,0,0,1,0,2,0,1,1,1,0,0,2,1,0,2,1,1,2,1,1,1,1,2,1,0,1
859,1829,GSI014,34,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
861,2633,GSI014,42,Reprovado,0,1,1,1,1,2,1,0,1,0,1,1,1,0,2,2,2,2,1,1,1,0,2,1,1,1
866,2731,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2
