IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1348,1864,GSI020,71,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1354,1864,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1356,1777,GSI020,49,Reprovado,1,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,1,1,1
1361,1590,GSI020,90,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,0,1,1,2,1,1
1365,2832,GSI020,88,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1370,2394,GSI020,0,Reprovado,1,0,0,0,2,2,2,2,2,2,0,2,0,2,2,2,2,0,0,0
1371,1815,GSI020,70,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
1378,1684,GSI020,100,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
1408,1637,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,0,1,1,1,1,2,1,1
1410,1637,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1416,1815,GSI020,72,Aprovado,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1
1419,1631,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1420,1631,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1426,1864,GSI020,63,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1432,1590,GSI020,75,Aprovado,1,2,1,2,1,2,0,2,1,1,1,2,1,1,1,1,1,2,1,1
1437,1777,GSI020,69,Aprovado,1,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,1,1,1
1443,2696,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1447,1704,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1448,1704,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1454,2527,GSI020,98,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1463,1631,GSI020,80,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1467,1631,GSI020,30,Reprovado,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1470,1631,GSI020,75,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1471,1631,GSI020,80,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1475,1808,GSI020,99,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
1479,1637,GSI020,0,Reprovado,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1497,2527,GSI020,75,Aprovado,1,2,1,2,1,2,1,2,0,1,1,2,1,1,2,2,1,1,1,1
1516,2744,GSI020,60,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
1545,1637,GSI020,10,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1548,1590,GSI020,82,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1562,2672,GSI020,65,Aprovado,1,2,2,2,2,1,1,1,2,2,1,0,1,2,2,2,2,2,1,2
1565,2037,GSI020,60,Aprovado,1,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,1,1,1
1574,1704,GSI020,0,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
1579,1808,GSI020,61,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
1582,1590,GSI020,85,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
1585,1637,GSI020,60,Aprovado,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
