IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
315,2056,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,0,2,2,2,2,1,2,2,1,2
316,2095,GSI002,60,Aprovado,1,2,1,2,2,0,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
318,2026,GSI002,8,Reprovado,1,2,2,2,1,1,1,1,2,0,2,2,2,0,2,2,2,2,2,2,2,2,1,2
319,2095,GSI002,78,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
321,2026,GSI002,72,Aprovado,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2
324,1976,GSI002,60,Aprovado,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,0,1,2,0,1,2
325,2060,GSI002,76,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
326,2060,GSI002,96,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2
327,2005,GSI002,78,Aprovado,1,2,2,2,1,0,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2
328,1993,GSI002,60,Aprovado,1,2,2,2,1,1,1,1,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,2
331,1966,GSI002,2,Reprovado,1,0,0,0,0,0,2,1,1,1,1,1,1,1,0,2,1,0,1,1,1,2,0,2
332,1993,GSI002,76,Aprovado,1,2,2,2,1,1,1,1,2,0,2,2,2,2,2,2,2,2,2,1,2,2,1,2
333,1993,GSI002,78,Aprovado,0,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2
336,1954,GSI002,0,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0,2
338,1966,GSI002,2,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
339,1916,GSI002,3,Reprovado,1,1,1,1,1,2,2,1,1,0,0,0,0,1,1,2,1,1,1,1,1,2,1,2
341,1947,GSI002,19,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
349,1890,GSI002,84,Aprovado,1,1,1,1,1,1,2,1,2,1,1,1,1,0,1,2,1,1,1,1,1,2,1,2
351,1890,GSI002,4,Reprovado,1,1,1,1,1,1,2,1,2,0,0,0,0,0,1,2,0,1,1,0,0,2,1,2
352,1954,GSI002,22,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0,2
361,2406,GSI002,32,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2
362,1900,GSI002,0,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,2,0,0,1,0,0,2,0,2
373,2553,GSI002,88,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2
374,2591,GSI002,68,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
