IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
573,1904,GSI007,0,Reprovado,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
581,2284,GSI007,60,Aprovado,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1
584,2889,GSI007,77,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
592,2704,GSI007,68,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
599,1893,GSI007,65,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
611,1999,GSI007,0,Reprovado,1,1,1,1,1,1,2,0,0,0,0,0,1,0,2,2,0,2,2,2,0,0,2,0,0,0
612,2017,GSI007,0,Reprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2
619,1922,GSI007,13,Reprovado,1,1,2,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,2,2,0,0,0,1,1,2
621,2662,GSI007,83,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
623,1904,GSI007,25,Reprovado,1,1,2,0,2,0,1,0,0,1,2,0,1,0,0,0,1,2,2,2,1,0,2,0,0,0
626,1922,GSI007,28,Reprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,0,1,1,2
628,2017,GSI007,69,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,0,1,1,2,1,1,1,1,0,1,2
630,2115,GSI007,68,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2
633,2384,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,1,1,2
634,2513,GSI007,8,Reprovado,0,1,1,1,2,2,1,1,2,1,1,1,0,1,1,2,2,1,1,0,0,0,1,1,1,1
639,1904,GSI007,64,Aprovado,1,1,2,1,2,0,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
640,1904,GSI007,0,Reprovado,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
652,2513,GSI007,2,Reprovado,1,1,1,0,2,2,0,0,2,0,0,1,1,0,1,2,2,1,1,0,0,0,0,0,0,0
655,2412,GSI007,0,Reprovado,0,0,2,0,2,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,0,0,0,0,0,0
657,2889,GSI007,68,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
658,2513,GSI007,10,Reprovado,1,0,1,1,2,2,1,1,2,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0
660,1965,GSI007,0,Reprovado,1,1,2,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2
668,1922,GSI007,0,Reprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2
669,1999,GSI007,60,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1
675,1922,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,2
676,1893,GSI007,96,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
686,2662,GSI007,69,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
687,2889,GSI007,81,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2
688,1893,GSI007,60,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
